#FORMAT=WebAnno TSV 3.3


1-1	0-6	Meiner	
1-2	7-14	Meinung	
1-3	15-19	nach	
1-4	20-23	ist	
1-5	24-27	zum	
1-6	28-37	aktuellen	
1-7	38-47	Zeitpunkt	
1-8	48-62	Elektromotoren	
1-9	63-66	der	
1-10	67-72	beste	
1-11	73-76	weg	
1-12	76-77	,	
1-13	78-80	um	
1-14	81-84	dem	
1-15	85-90	Klima	
1-16	91-98	weniger	
1-17	99-101	zu	
1-18	102-109	schaden	
1-19	109-110	.	

2-1	112-116	Dies	
2-2	117-121	kann	
2-3	122-126	sich	
2-4	127-136	natürlich	
2-5	137-139	in	
2-6	140-143	der	
2-7	144-151	Zukunft	
2-8	152-157	durch	
2-9	158-162	mehr	
2-10	163-172	Forschung	
2-11	173-176	und	
2-12	177-184	Erfolge	
2-13	185-191	ändern	
2-14	191-192	.	

3-1	194-203	Kriterium	
3-2	204-205	1	
3-3	206-207	-	
3-4	208-219	Entwicklung	
3-5	219-220	/	
3-6	220-231	Fortschritt	
3-7	232-233	:	
3-8	234-237	Zum	
3-9	238-247	aktuellen	
3-10	248-257	Zeitpunkt	
3-11	258-262	sind	
3-12	263-266	wir	
3-13	267-271	noch	
3-14	272-277	nicht	
3-15	278-293	fortgeschritten	
3-16	294-299	genug	
3-17	299-300	,	
3-18	301-303	um	
3-19	304-315	Wasserstoff	
3-20	316-329	kostengünstig	
3-21	330-333	und	
3-22	334-343	effizient	
3-23	344-346	in	
3-24	347-351	PKWs	
3-25	352-354	zu	
3-26	355-364	verwenden	
3-27	364-365	.	

4-1	367-374	E-Fuels	
4-2	374-375	,	
4-3	376-381	sowie	
4-4	382-395	Akkumulatoren	
4-5	396-400	sind	
4-6	401-409	hingegen	
4-7	410-414	viel	
4-8	415-421	weiter	
4-9	422-424	in	
4-10	425-428	der	
4-11	429-438	Forschung	
4-12	439-442	und	
4-13	443-447	sind	
4-14	448-465	kosteneffizienter	
4-15	465-466	.	

5-1	468-477	Kriterium	
5-2	478-479	2	
5-3	480-481	-	
5-4	482-500	Massentauglichkeit	
5-5	501-502	:	
5-6	503-516	Akkumulatoren	
5-7	517-522	haben	
5-8	523-526	den	
5-9	527-534	Vorteil	
5-10	534-535	,	
5-11	536-539	das	
5-12	540-543	man	
5-13	544-549	nicht	
5-14	550-556	tanken	
5-15	557-562	gehen	
5-16	563-567	muss	
5-17	567-568	,	
5-18	569-576	sondern	
5-19	577-583	seinen	
5-20	584-587	PKW	
5-21	588-595	einfach	
5-22	596-600	über	
5-23	601-606	Nacht	
5-24	607-615	aufladen	
5-25	616-620	kann	
5-26	620-621	.	

6-1	623-631	Außerdem	
6-2	632-638	werden	
6-3	639-652	Akkumulatoren	
6-4	653-655	in	
6-5	656-671	Massenfertigung	
6-6	672-683	hergestellt	
6-7	684-687	und	
6-8	688-692	sind	
6-9	693-698	daher	
6-10	699-708	schneller	
6-11	709-712	und	
6-12	713-721	leichter	
6-13	722-724	zu	
6-14	725-733	bekommen	
6-15	734-735	(	
6-16	735-739	auch	
6-17	740-744	wenn	
6-18	745-752	Lithium	
6-19	753-756	ein	
6-20	757-766	endlicher	
6-21	767-772	Stoff	
6-22	773-776	ist	
6-23	776-777	)	
6-24	777-778	.	

7-1	780-791	Wasserstoff	
7-2	792-795	und	
7-3	796-803	E-Fuels	
7-4	804-810	müssen	
7-5	811-819	hingegen	
7-6	820-822	an	
7-7	823-836	Tankgestellen	
7-8	837-844	getankt	
7-9	845-851	werden	
7-10	851-852	,	
7-11	853-860	wodurch	
7-12	861-867	wieder	
7-13	868-871	wie	
7-14	872-876	auch	
7-15	877-880	bei	
7-16	881-889	normalen	
7-17	890-902	Kraftstoffen	
7-18	903-911	illegale	
7-19	912-922	absprachen	
7-20	923-927	beim	
7-21	928-933	Preis	
7-22	934-943	entstehen	
7-23	944-950	können	
7-24	950-951	.	

8-1	953-962	Kriterium	
8-2	963-964	3	
8-3	965-966	-	
8-4	967-984	Geräschemissionen	
8-5	985-986	:	
8-6	987-993	Leiste	
8-7	994-998	PKWs	
8-8	999-1004	haben	
8-9	1005-1008	Vor	
8-10	1008-1009	-	
8-11	1010-1013	und	
8-12	1014-1023	Nachteile	
8-13	1024-1030	jedoch	
8-14	1031-1041	überwiegen	
8-15	1042-1045	die	
8-16	1046-1054	Vorteile	
8-17	1055-1062	einfach	
8-18	1062-1063	.	

9-1	1065-1071	Sowohl	
9-2	1072-1085	Akkumulatoren	
9-3	1086-1089	als	
9-4	1090-1094	auch	
9-5	1095-1106	Wasserstoff	
9-6	1107-1111	sind	
9-7	1112-1117	beide	
9-8	1118-1122	sehr	
9-9	1123-1128	leise	
9-10	1128-1129	,	
9-11	1130-1133	was	
9-12	1134-1139	dafür	
9-13	1140-1145	sorgt	
9-14	1145-1146	,	
9-15	1147-1151	dass	
9-16	1152-1160	Menschen	
9-17	1161-1164	die	
9-18	1165-1167	an	
9-19	1168-1175	Straßen	
9-20	1176-1182	wohnen	
9-21	1183-1190	weniger	
9-22	1191-1197	Stress	
9-23	1198-1208	ausgesetzt	
9-24	1209-1213	sind	
9-25	1214-1217	und	
9-26	1218-1223	somit	
9-27	1224-1235	entspannter	
9-28	1236-1241	durch	
9-29	1242-1245	den	
9-30	1246-1249	Tag	
9-31	1250-1255	gehen	
9-32	1256-1262	können	
9-33	1262-1263	/	
9-34	1263-1274	produktiver	
9-35	1275-1279	sind	
9-36	1279-1280	.	
