#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Argument|Accuracy|Adequacy|Clarity|KriteriumJahresertragEnergiedichte|KriteriumLebensdauerVerfgbarkeit|KriteriumLokaleEmissionenGeruschemissionen|KriteriumPreisBetrieb|KriteriumSonstiges|KriteriumTreibhausgasemissionen|KriteriumWirkungsgrad|OptionA|OptionB|OptionC
#T_SP=webanno.custom.Struktur|Struktur
#T_SP=webanno.custom.StrukturTAP|TAPArgumente


1-1	0-3	Bei	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-2	4-7	der	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-3	8-20	Entscheidung	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-4	21-26	eines	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-5	27-42	Energiewandlers	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-6	42-43	,	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-7	44-50	sollte	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-8	51-54	man	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-9	55-59	alle	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-10	60-65	Punkt	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-11	66-81	berücksichtigen	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
1-12	81-82	.	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	

2-1	84-94	Einerseits	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-2	95-103	empfinde	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-3	104-107	ich	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-4	108-110	es	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-5	111-114	für	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-6	115-122	wichtig	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-7	122-123	,	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-8	124-128	dass	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-9	129-132	man	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-10	133-136	die	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-11	137-148	Lebensdauer	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-12	149-152	der	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-13	153-167	Energiewandler	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-14	168-178	vergleicht	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-15	178-179	,	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-16	180-183	den	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-17	184-196	Wirkungsgrad	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-18	197-211	berücksichtigt	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-19	212-215	und	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-20	216-219	die	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-21	220-226	Umwelt	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-22	227-234	Aspekte	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-23	235-249	berücksichtigt	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	
2-24	249-250	.	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[11]	_	

3-1	252-255	Zum	1. Richtig[1]	1. Angemessen[1]	1. Verständlich[1]	*[1]	Lebensdauer/Verfügbarkeit vorhanden[1]	*[1]	*[1]	*[1]	Treibhausgasemissionen vorhanden[1]	Wirkungsgrad vorhanden[1]	Pro A[1]	*[1]	*[1]	Hauptteil[12]	2. Data[13]	
3-2	256-264	Beispiel	1. Richtig[1]	1. Angemessen[1]	1. Verständlich[1]	*[1]	Lebensdauer/Verfügbarkeit vorhanden[1]	*[1]	*[1]	*[1]	Treibhausgasemissionen vorhanden[1]	Wirkungsgrad vorhanden[1]	Pro A[1]	*[1]	*[1]	Hauptteil[12]	2. Data[13]	
3-3	265-268	ist	1. Richtig[1]	1. Angemessen[1]	1. Verständlich[1]	*[1]	Lebensdauer/Verfügbarkeit vorhanden[1]	*[1]	*[1]	*[1]	Treibhausgasemissionen vorhanden[1]	Wirkungsgrad vorhanden[1]	Pro A[1]	*[1]	*[1]	Hauptteil[12]	2. Data[13]	
3-4	269-272	der	1. Richtig[1]	1. Angemessen[1]	1. Verständlich[1]	*[1]	Lebensdauer/Verfügbarkeit vorhanden[1]	*[1]	*[1]	*[1]	Treibhausgasemissionen vorhanden[1]	Wirkungsgrad vorhanden[1]	Pro A[1]	*[1]	*[1]	Hauptteil[12]	2. Data[13]	
3-5	273-285	Wirkungsgrad	1. Richtig[1]	1. Angemessen[1]	1. Verständlich[1]	*[1]	Lebensdauer/Verfügbarkeit vorhanden[1]	*[1]	*[1]	*[1]	Treibhausgasemissionen vorhanden[1]	Wirkungsgrad vorhanden[1]	Pro A[1]	*[1]	*[1]	Hauptteil[12]	2. Data[13]	
3-6	286-289	der	1. Richtig[1]	1. Angemessen[1]	1. Verständlich[1]	*[1]	Lebensdauer/Verfügbarkeit vorhanden[1]	*[1]	*[1]	*[1]	Treibhausgasemissionen vorhanden[1]	Wirkungsgrad vorhanden[1]	Pro A[1]	*[1]	*[1]	Hauptteil[12]	2. Data[13]	
3-7	290-307	Wasserkraftanlage	1. Richtig[1]	1. Angemessen[1]	1. Verständlich[1]	*[1]	Lebensdauer/Verfügbarkeit vorhanden[1]	*[1]	*[1]	*[1]	Treibhausgasemissionen vorhanden[1]	Wirkungsgrad vorhanden[1]	Pro A[1]	*[1]	*[1]	Hauptteil[12]	2. Data[13]	
