#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Struktur|Struktur


1-1	0-2	Um	Einleitung[1]	
1-2	3-6	die	Einleitung[1]	
1-3	7-26	Treibhausemissionen	Einleitung[1]	
1-4	27-29	zu	Einleitung[1]	
1-5	30-36	senken	Einleitung[1]	
1-6	37-43	werden	Einleitung[1]	
1-7	44-52	zwischen	Einleitung[1]	
1-8	53-54	3	Einleitung[1]	
1-9	55-67	erneuerbaren	Einleitung[1]	
1-10	68-76	Energien	Einleitung[1]	
1-11	77-88	entschieden	Einleitung[1]	
1-12	89-95	werden	Einleitung[1]	
1-13	95-96	.	Einleitung[1]	

2-1	98-101	Dem	Einleitung[1]	
2-2	102-110	Windpark	Einleitung[1]	
2-3	110-111	,	Einleitung[1]	
2-4	112-121	Solarpark	Einleitung[1]	
2-5	122-125	und	Einleitung[1]	
2-6	126-129	die	Einleitung[1]	
2-7	130-145	Windkraftanlage	Einleitung[1]	
2-8	145-146	.	Einleitung[1]	

3-1	148-156	Außerdem	Einleitung[1]	
3-2	157-163	werden	Einleitung[1]	
3-3	164-168	noch	Einleitung[1]	
3-4	169-181	verschiedene	Einleitung[1]	
3-5	182-191	Kriterien	Einleitung[1]	
3-6	192-201	eingebaut	Einleitung[1]	
3-7	201-202	.	Einleitung[1]	

4-1	204-207	Der	Einleitung[1]	
4-2	208-220	Wirkungsgrad	Einleitung[1]	
4-3	220-221	,	Einleitung[1]	
4-4	222-234	Jahresertrag	Einleitung[1]	
4-5	234-235	,	Einleitung[1]	
4-6	236-242	Lokale	Einleitung[1]	
4-7	243-251	Emission	Einleitung[1]	
4-8	251-252	,	Einleitung[1]	
4-9	253-264	Lebensdauer	Einleitung[1]	
4-10	264-265	,	Einleitung[1]	
4-11	266-271	Preis	Einleitung[1]	
4-12	272-275	und	Einleitung[1]	
4-13	276-298	Treibhausgasemissionen	Einleitung[1]	
4-14	298-299	.	Einleitung[1]	
