#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Struktur|Struktur


1-1	0-6	Einige	Einleitung[1]	
1-2	7-16	Politiker	Einleitung[1]	
1-3	17-20	und	Einleitung[1]	
1-4	21-35	Politikerinnen	Einleitung[1]	
1-5	35-36	,	Einleitung[1]	
1-6	37-46	besonders	Einleitung[1]	
1-7	47-50	aus	Einleitung[1]	
1-8	51-54	dem	Einleitung[1]	
1-9	55-61	linken	Einleitung[1]	
1-10	62-70	Spektrum	Einleitung[1]	
1-11	70-71	,	Einleitung[1]	
1-12	72-79	fordern	Einleitung[1]	
1-13	79-80	,	Einleitung[1]	
1-14	81-85	dass	Einleitung[1]	
1-15	86-88	ab	Einleitung[1]	
1-16	89-93	2035	Einleitung[1]	
1-17	94-102	Neuwagen	Einleitung[1]	
1-18	103-106	mit	Einleitung[1]	
1-19	107-112	einem	Einleitung[1]	
1-20	113-119	Benzin	Einleitung[1]	
1-21	119-120	-	Einleitung[1]	
1-22	121-124	und	Einleitung[1]	
1-23	125-136	Dieselmotor	Einleitung[1]	
1-24	137-145	verboten	Einleitung[1]	
1-25	146-152	werden	Einleitung[1]	
1-26	152-153	,	Einleitung[1]	
1-27	154-156	um	Einleitung[1]	
1-28	157-160	die	Einleitung[1]	
1-29	161-183	Treibhausgasemissionen	Einleitung[1]	
1-30	184-187	des	Einleitung[1]	
1-31	188-204	Personenverkehrs	Einleitung[1]	
1-32	205-214	drastisch	Einleitung[1]	
1-33	215-217	zu	Einleitung[1]	
1-34	218-228	reduzieren	Einleitung[1]	
1-35	228-229	,	Einleitung[1]	
1-36	230-235	damit	Einleitung[1]	
1-37	236-239	die	Einleitung[1]	
1-38	240-256	Klimaneutralität	Einleitung[1]	
1-39	257-260	bis	Einleitung[1]	
1-40	261-265	2045	Einleitung[1]	
1-41	266-274	erreicht	Einleitung[1]	
1-42	275-279	wird	Einleitung[1]	
1-43	279-280	.	Einleitung[1]	

2-1	281-286	Daher	Einleitung[1]	
2-2	287-291	wird	Einleitung[1]	
2-3	292-299	darüber	Einleitung[1]	
2-4	300-310	diskutiert	Einleitung[1]	
2-5	310-311	,	Einleitung[1]	
2-6	312-314	ob	Einleitung[1]	
2-7	315-318	ein	Einleitung[1]	
2-8	319-326	Umstieg	Einleitung[1]	
2-9	327-330	auf	Einleitung[1]	
2-10	331-336	Autos	Einleitung[1]	
2-11	337-340	mit	Einleitung[1]	
2-12	341-354	Akkumulatoren	Einleitung[1]	
2-13	354-355	,	Einleitung[1]	
2-14	356-367	Wasserstoff	Einleitung[1]	
2-15	368-372	oder	Einleitung[1]	
2-16	373-380	E-Fuels	Einleitung[1]	
2-17	381-384	als	Einleitung[1]	
2-18	385-398	Energieträger	Einleitung[1]	
2-19	399-408	gefördert	Einleitung[1]	
2-20	409-415	werden	Einleitung[1]	
2-21	416-420	soll	Einleitung[1]	
2-22	420-421	.	Einleitung[1]	

3-1	423-425	Im	Einleitung[1]	
3-2	426-435	Folgenden	Einleitung[1]	
3-3	436-442	werden	Einleitung[1]	
3-4	443-446	die	Einleitung[1]	
3-5	447-451	drei	Einleitung[1]	
3-6	452-465	Energieträger	Einleitung[1]	
3-7	466-477	vorgestellt	Einleitung[1]	
3-8	478-481	und	Einleitung[1]	
3-9	482-487	durch	Einleitung[1]	
3-10	488-491	von	Einleitung[1]	
3-11	492-495	mir	Einleitung[1]	
3-12	496-508	ausgewählten	Einleitung[1]	
3-13	509-510	K	Einleitung[1]	
