#FORMAT=WebAnno TSV 3.3


1-1	0-3	Die	
1-2	4-18	Politikerinnen	
1-3	19-22	und	
1-4	23-32	Politiker	
1-5	33-38	eines	
1-6	39-47	Bezierks	
1-7	48-50	in	
1-8	51-67	Norddeuutschland	
1-9	68-75	fordern	
1-10	76-81	daher	
1-11	81-82	,	
1-12	83-86	den	
1-13	87-100	Energiebedarf	
1-14	101-104	des	
1-15	105-114	Bezierkes	
1-16	115-126	vollständig	
1-17	127-132	durch	
1-18	133-142	erneubare	
1-19	143-152	Eenergien	
1-20	153-163	abzudecken	
1-21	163-164	.	

2-1	167-171	Dazu	
2-2	172-176	gibt	
2-3	177-179	es	
2-4	180-183	die	
2-5	184-188	drei	
2-6	189-201	Möglichkeitn	
2-7	201-202	,	
2-8	203-209	einmal	
2-9	210-213	der	
2-10	214-217	Bau	
2-11	218-223	eines	
2-12	224-233	Windparks	
2-13	233-234	,	
2-14	235-238	der	
2-15	239-242	Bau	
2-16	243-248	eines	
2-17	249-259	Solarparks	
2-18	260-263	und	
2-19	264-269	einer	
2-20	270-287	Wasserkarftanlage	
2-21	287-288	.	
2-22	290-291	.	

3-1	294-296	Um	
3-2	297-300	auf	
3-3	301-304	das	
3-4	305-313	Kriterum	
3-5	314-326	Wirkungsgrad	
3-6	327-337	einzugehen	
3-7	337-338	,	
3-8	339-344	lässt	
3-9	345-349	sich	
3-10	350-361	feststellen	
3-11	362-363	,	
3-12	363-367	dass	
3-13	368-371	der	
3-14	372-382	solarparkt	
3-15	383-386	nur	
3-16	387-389	21	
3-17	390-397	Prozent	
3-18	398-410	Wirkungsgrad	
3-19	411-414	hat	
3-20	414-415	.	

4-1	416-423	Dagegen	
4-2	424-427	hat	
4-3	428-431	die	
4-4	432-449	Wasserkraftanlage	
4-5	450-458	hingegen	
4-6	459-465	schoon	
4-7	466-468	70	
4-8	468-469	-	
4-9	469-471	90	
4-10	472-479	Prozent	
4-11	479-480	.	

5-1	482-485	Was	
5-2	486-495	ebenfalls	
5-3	496-504	auffällt	
5-4	505-508	ist	
5-5	509-512	die	
5-6	513-524	Lebensdauer	
5-7	524-525	.	

6-1	526-529	Der	
6-2	530-538	Windpark	
6-3	539-542	und	
6-4	543-552	Solarpark	
6-5	553-558	haben	
6-6	559-562	nur	
6-7	563-567	eine	
6-8	568-579	Lebensdauer	
6-9	580-583	von	
6-10	584-589	20,30	
6-11	590-596	Jahren	
6-12	596-597	.	

7-1	600-618	Windenergieanlagen	
7-2	619-624	haben	
7-3	625-629	eine	
7-4	630-634	hohe	
7-5	635-646	mechanische	
7-6	647-656	Belastung	
7-7	656-657	.	

8-1	658-660	Es	
8-2	661-668	besteht	
8-3	669-672	die	
8-4	673-679	Gefahr	
8-5	680-683	das	
8-6	684-688	eine	
8-7	689-699	Zerstörung	
8-8	700-703	von	
8-9	704-717	Roborblättern	
8-10	718-721	und	
8-11	722-730	Getriebe	
8-12	731-738	entseht	
8-13	738-739	.	

9-1	741-744	Die	
9-2	745-763	Wasserkraftanlagen	
9-3	764-770	jedoch	
9-4	771-777	können	
9-5	778-781	bis	
9-6	782-784	80	
9-7	785-791	Jahren	
9-8	792-797	leben	
9-9	797-798	,	
9-10	799-802	bis	
9-11	803-806	das	
9-12	807-814	Bauwerk	
9-13	815-823	erneuert	
9-14	824-830	werden	
9-15	831-835	muss	
9-16	835-836	.	

10-1	837-845	Trubinen	
10-2	846-849	zum	
