IN	SPEAKER	TRANSCRIPT
00:00:01.941	SPEAKER_00	Okay, jetzt nimmt er auf.
00:00:03.282	SPEAKER_00	Gut, Ulla, erstmal herzlichen Dank, dass du dich bereit erklärst für das Interview.
00:00:07.626	SPEAKER_00	Und es geht ja um die 70er, 80er Jahre in Münster, in der Frauenstraße, die Auseinandersetzung aber auch an der Uni.
00:00:15.173	SPEAKER_00	Aber zunächst mal geht es auch um deine Lebensgeschichte.
00:00:18.836	SPEAKER_00	Wo bist du aufgewachsen?
00:00:20.897	SPEAKER_00	Wann und wie nach Münster gekommen?
00:00:23.140	SPEAKER_00	Ja, und wie ging es dann auch nach deinem Studium weiter und so weiter und so fort?
00:00:29.242	SPEAKER_01	Ja, ich bin eine der wenigen Exemplare, eine Ur-Münsteranerin, also in Münster, 1959 in Münster geboren und auch aufgewachsen,
00:00:40.655	SPEAKER_01	erst in einer Mietswohnung und später in einem Einfamilienhaus.
00:00:46.493	SPEAKER_01	Ich bin die Jüngste von fünf Kindern und immer mit viel Trubel.
00:00:55.192	SPEAKER_01	Was haben deine Eltern gemacht?
00:00:59.094	SPEAKER_01	Mein Vater war Architekt bei der Post.
00:01:03.536	SPEAKER_01	Ziemlich unglücklich da, weil er eigentlich nicht frei arbeiten konnte.
00:01:06.879	SPEAKER_01	Und meine Mutter war Hausfrau und hatte mit uns Fünfen sicherlich genug zu tun.
00:01:18.337	SPEAKER_01	Ja, also es war eigentlich so eine, also für mich fand ich im Nachhinein eine sehr glückliche Kindheit.
00:01:26.317	SPEAKER_01	Und ja, also ich habe einfach die Zeit genossen und konnte auch viel eben allein unterwegs sein und auf der Straße spielen.
00:01:38.340	SPEAKER_01	Und also es war wirklich so ein ganz, ganz freies Leben auch für mich damals.
00:01:48.504	SPEAKER_00	Ihr seid dann umgezogen in ein eigenes Haus?
00:01:53.986	SPEAKER_01	Ja, in so ein eigenes Haus, genau.
00:01:55.966	SPEAKER_01	Hat dein Vater höchstwahrscheinlich auch geplant?
00:01:57.906	SPEAKER_01	Hat er geplant und das war damals irgendwie so die Kippe, der Aushub vom Dortmund-Ems-Kanal und was jetzt wirklich so eine sehr schicke Gegend ist,
00:02:07.250	SPEAKER_01	war damals einfach mit vielen Großfamilien oder Familien mit vielen Kindern durften da bauen für wenig Geld und Ja, sodass auch wirklich immer viele Kinder unterwegs waren.
00:02:19.788	SPEAKER_01	Also das, was ich mir eigentlich für alle Kinder wünschen würde, das hatten wir damals.
00:02:26.730	SPEAKER_01	Ja, und dann ist meine Mutter, als ich 17 war, ist die sehr schwer erkrankt, beziehungsweise schon vorher natürlich schwer erkrankt,
00:02:39.492	SPEAKER_01	aber als ich 17 war, ist sie gestorben.
00:02:44.995	SPEAKER_01	Und das war natürlich ein riesen Einschnitt in meinem Leben.
00:02:51.300	SPEAKER_01	Waren deine anderen Geschwister schon aus dem Haus zu dem Zeitpunkt?
00:02:54.883	SPEAKER_01	Meine beiden Schwestern waren aus dem Haus und die beiden Brüder waren noch zu Hause.
00:03:01.229	SPEAKER_01	Wobei eben ich dann so ganz automatisch quasi so die Aufgaben der Hausfrau übernommen habe, wie Wäsche waschen, bügeln und kochen und irgendwie habe ich dann schon auch,
00:03:17.785	SPEAKER_01	ja, da ging eigentlich dann so die Schwere des Lebens dann los.
00:03:24.094	SPEAKER_01	Ich war allerdings dann damals auch, oder ich war auf einem Vorsigungskloster, hieß das damals noch, also Mädchengymnasium in Handorf.
00:03:36.397	SPEAKER_01	Und was zwar eben sehr christlich war, aber es war schon auch eine ganz, eine ganz Also auch eine beschützte, behütende Schule.
00:03:48.456	SPEAKER_01	Also von daher habe ich da immer auch so ein bisschen Rückhalt gekriegt, dass eben auch immer gefragt wurde, wie es mir geht und so.
00:03:58.562	SPEAKER_01	Und wenn es mir nicht gut ging, dann konnte ich einfach auch eine Auszeit nehmen.
00:04:04.746	SPEAKER_02	Ja, und...
00:04:11.014	SPEAKER_01	Zur gleichen Zeit habe ich dann aber als meine Mutter, also kurz bevor meine Mutter starb, habe ich dann auch den Hans kennengelernt auf einer Karnevalsparty.
